Tweet,Created_at,Sentiment,Sentiment_Category
"You have done nothing for climate change, again for as long as I've been alive. You've spent all 40 years trying to twiddle and nudge knows so you can have your hypervapitslist splurge, but also claim to be ""doing something""",2025-01-29 20:31:06+00:00,-0.016666667,Negative
@Texasbrn Newsflash: Texas is also affected by climate change. Who knew?,2025-01-29 20:31:03+00:00,0,Neutral
Senator Warren you are going to make a commitment that you will not draw water in pails from selling portraits and assure me also of a clean green environment supporting climate change.,2025-01-29 20:31:00+00:00,0.1388888888888889,Positive
"Sing for Soil, Dance for Soil, Ride for Soil, Rap for Soil - whatever your jam, this is the time to bring out your best and support the #SaveSoil movement and let everyone know that soil is a solution to climate change.

#SaveSoilFixClimateChange #SaveSoilSecureFuture @cpsavesoil https://t.co/PDMKjgI3Zo https://t.co/dPTtzTzLqj",2025-01-29 20:30:58+00:00,1,Positive
@ABC Mystery? It’s climate change.,2025-01-29 20:30:49+00:00,0,Neutral
"More climate change at work...

Los Angeles wildfires: Lawsuit alleges video shows what started Eaton Fire

https://t.co/DOiUzKAWsG",2025-01-29 20:30:35+00:00,0.5,Positive
The election of President Trump has extinguished climate change in the United States. This serious environmental problem is left only in Europe which is waiting for political changes.,2025-01-29 20:30:33+00:00,-0.083333333,Negative
@Southampton27 @Texasbrn 😂 maybe this will make you believers in climate change 😂,2025-01-29 20:30:29+00:00,0,Neutral
"@RT_com Meanwhile, back to Medicare for all and climate change… 😂😂😂",2025-01-29 20:30:12+00:00,0,Neutral
"@DLoesch the oil lobby is behind the climate change lobby (so green energy) and the pro oil policy
https://t.co/LSZsQKO7bf",2025-01-29 20:30:04+00:00,-0.3,Negative
@KTVU I have a hangnail. It’s climate change. There was fog and it caused the road to be slippery climate change. You people are the nuttiest bunch of people I’ve ever seen in my life. https://t.co/KD0l1JywkH,2025-01-29 20:46:46+00:00,0,Neutral
@Texasbrn Buildings in Texas aren't designed to withstand the elements. As Climate Change brings more moisture to the region it's going to bring more storms. This is the cost of that.,2025-01-29 20:46:46+00:00,0.5,Positive
@CTVNews Canada has self sabotaged themselves. Don’t try and muh trump or muh Russia or muh climate change this shit,2025-01-29 20:46:39+00:00,-0.2,Negative
@Dublinmarti @Angela587164701 You’re worried about climate change but you’re ridiculing a woman who thinks the government should invest in renewable energy sources? Make it make sense??,2025-01-29 20:46:28+00:00,0,Neutral
@FrTotleben92742 Why is the Vatican so concern with illegal immigration and climate change then saving souls. More money in trafficking humans and climate scam then saving souls. Shame on you,2025-01-29 20:46:19+00:00,0,Neutral
@Rothmus is it climate change or the odd British cuisine they have there?,2025-01-29 20:46:08+00:00,-0.083333333,Negative
"@reesetheone1 They don't believe in climate change, apparently is enough to them, to protect them from it. Welcome to FAFO, 2025 US Edition, kids.

Climate change leads to more fires, more floods, more severe storms. Fine if you wanna bury your head in the sand, but insurance companies won't.",2025-01-29 20:46:07+00:00,0.4527777777777777,Positive
"The 2024 @hrw's report on Afghanistan reveals grim findings.

23M need humanitarian aid as economic collapse, climate change &amp; rights violations worsen. Afghan women bear the brunt, facing extreme restrictions on movement, education &amp; expression.

🔗More: https://t.co/VtG973Uavb",2025-01-29 20:46:02+00:00,-0.308333333,Negative
"Sourcing a 5x for @fordnation….

Amazon is saying that much wool is detrimental to climate change 😝",2025-01-29 20:45:57+00:00,0.2,Positive
@Texasbrn Tell her to paint her roof blue ASAP so the “climate change “ doesn’t burn her house down,2025-01-29 20:45:48+00:00,-0.077777778,Negative
"Labor Government Shocked To Discover Imported Extremism – Blames Climate Change

SYDNEY – In yet another totally unexpected development, authorities have uncovered a caravan packed with explosives, allegedly intended for an antisemitic attack. Naturally, the Labor government and… https://t.co/9gJ1mSotKO https://t.co/iamvVgknEN https://t.co/dMm6Yv2UAv",2025-01-29 21:01:49+00:00,-0.15,Negative
"California Democrat Proposes Legislation to Sue Oil Companies Over Wildfires That Had NOTHING to Do With Them.

So they were Calling Arsonists ""Climate Change"" You know the One's armed with Petrol Cans.
Now The Americans Last Party is going after the Petrol Companies.
NOW that… https://t.co/YWF9AqiF4f",2025-01-29 21:01:48+00:00,0,Neutral
"@brawbags @Stesroom @JustStop_Oil I honestly couldn't give a shit. People like Miliband thinks we could be world leaders when no one gives a fuck about what we do unless it's giving them money. Our leaders will happily let China make shite so we can say were net zero.
You ain't going to stop climate change.",2025-01-29 21:01:29+00:00,0.16,Positive
"The world’s largest reinsurer, Munich Re, recently noted that 2024 was one of the most expensive years for weather disasters on record, with $320 billion in global losses, of which around $140 billion were insured.
https://t.co/c2wA1og41F",2025-01-29 21:01:26+00:00,0,Neutral
"Among all that (very real) and negative climate news of last year, there was some good, too: We saw progress cutting back on the most polluting fossil fuels along with cheaper and better technologies for combating climate change.

https://t.co/CWMYbuZZm7",2025-01-29 21:01:16+00:00,0.1325,Positive
"Writing for @FT, Prof. @mikealbertus shares insights from his new book 'Land Power', exploring potential for new global competition over territory driven by the pressures of climate change and population growth.

Learn more: https://t.co/fbx508Zuyf",2025-01-29 21:01:08+00:00,0.1545454545454545,Positive
"@lembitopik Every weather event is blamed on Climate Change by the BBC  &amp; yet closer inspection reveals many other human inflicted causes as with LA, Valencia &amp; Barcelona.  In UK we have always had Winter Storms &amp; River Floods  now exacerbated by human greed &amp; neglect !",2025-01-29 21:01:06+00:00,0.09375,Positive
"Trump Is a Clear and Present Danger to the Nation’s Security
https://t.co/XGk1u7ry3g",2025-01-29 21:00:50+00:00,0.0499999999999999,Positive
"@TodGerst Which of the dangers in the article are worse than the fires, floods, and drought caused by climate change? There's a thing called common sense that YOU should try using.",2025-01-29 21:00:49+00:00,-0.35,Negative
@Texasbrn she should start her own insurance company and compete with them since you guys know better than the insurance companies how real ‘climate change risk’ is.,2025-01-29 21:00:49+00:00,0.4333333333333333,Positive
"@buperac As said by a petroleum engineer climate change denier. Nobody wants to be part of the US, are you insane?",2025-01-29 21:16:46+00:00,-0.4,Negative
@MrMatthewTodd Nothing to do with climate change mate,2025-01-29 21:16:40+00:00,0,Neutral
@ChrisGPackham @IMDMilo Climate change is a scam,2025-01-29 21:16:32+00:00,0,Neutral
@5Dloveandlight @Texasbrn Against climate change ?,2025-01-29 21:16:26+00:00,0,Neutral
@calgarysun The climate change that has made fires worse is due to geoengineering technologies used by criminal controlled governments,2025-01-29 21:16:22+00:00,-0.308333333,Negative
@Rothmus So that take out Curry is climate change  in action?,2025-01-29 21:16:20+00:00,0.1,Positive
"@Rothmus &gt;climate change

No it's called the Indians are bringing cholera over.",2025-01-29 21:16:14+00:00,0,Neutral
"@Texasbrn Yes, that's how insurance works. It is priced based on risk levels. When something (like climate change!) makes risk levels go up, then prices go up too.",2025-01-29 21:16:11+00:00,0,Neutral
@sugarbets_ @J_M_Riddle @Texasbrn The navy IS wrong about climate change and insurance prices has less to do with climate change and more to do with fund mismanagement and crisis mismanagement disguised as climate change. This isn't capitalism IMO. And no reason to use degrading  terms.,2025-01-29 21:16:10+00:00,-0.055555556,Negative
"📣 From now until February 20, Kingston residents can provide feedback on proposed actions to help guide the @cityofkingston's final Climate Change Adaptation Plan.

Check it out and share your thoughts👇 https://t.co/0V0fE37sqM",2025-01-29 21:16:03+00:00,0,Neutral
@CartlandDavid Climate change has been verbal diarrhea for the past 3-4 decades... so what is new?,2025-01-29 21:31:59+00:00,-0.056818182,Negative
Climate change deniers finding out that their denial doesn’t mean it’s not happening. Insurance companies have people called actuaries who work this stuff out using probabilities etc. we are all paying the price. https://t.co/dsbW2jMcB8,2025-01-29 21:31:53+00:00,-0.3125,Negative
"@BBCNews Two reasons why Climate Change WILL ONLY worsen:
1) Extortionate rail journey tickets
2) Very cheap flights",2025-01-29 21:31:46+00:00,0.26,Positive
"@SenSanders It would be a big money grab for you Bernie.  

Just like climate change.",2025-01-29 21:31:40+00:00,0,Neutral
"A team of researchers from Latin America and Spain 🌎🇪🇸, supported by @FontagroLAC, is developing new inoculants 🌱 that improve agricultural productivity 🚜 and help mitigate climate change 🌍 by reducing nitrous oxide emissions 💨. https://t.co/8poJK5ItPn",2025-01-29 21:31:21+00:00,0.1363636363636363,Positive
"India: 
Caught between exploitation and extremes, Western Ghats’ future hinges on local action:

The fragile ecosystem of the Western Ghats is threatened by deforestation, quarrying, and largely unplanned development -and climate change
 https://t.co/ML5E2Ac9g0",2025-01-29 21:31:18+00:00,0.0448979591836734,Positive
"@Texasbrn You’ve heard of climate change, yeah? 

Well despite decades of denial by Republicans, it’s a thing",2025-01-29 21:31:12+00:00,0,Neutral
"It’s an invasive species.  Its spread has nothing to do with “climate change”.

“Native to Europe, Asia, and Africa, spongy moths were introduced to the U.S. in 1869 by scientist Leopold Trouvelot, who hoped to use them for silk production.”

https://t.co/xNfK8tTBbI",2025-01-29 21:31:06+00:00,0,Neutral
@Samanth25060133 @TXLulu1953 Well we all remember climate change https://t.co/zhijkfE6YO,2025-01-29 21:31:03+00:00,0,Neutral
@DoctorX_Meme @ice_blockchain Which ice is melting faster—climate change or this price prediction? 🌍🔥 #ICE,2025-01-29 21:30:59+00:00,0,Neutral
@AnaPalmer39185 LThe research programme will focus on addressing global challenges such as climate change and poverty.,2025-01-29 21:46:59+00:00,0,Neutral
@FilmLadd It ruined two rounds of golf for me in FL last week when the feels like was &lt;32(F) &amp; the rain was coming down sideways against my windows at 6:30 am on a couple of days... I've now been converted to fully fighting climate change!,2025-01-29 21:46:58+00:00,-0.097222222,Negative
"""THIS IS TOO MUCH BULL$HIT TO LISTEN TO‼️‼️

@declanganley nearly made @kierancuddihy cry this afternoon!

Declan decimates any and all arguments of Climate Change in 5 mins flat 👇👇 https://t.co/yCdFbngdAI",2025-01-29 21:46:54+00:00,0.0999999999999999,Positive
"@RadarHits Do we really think the Fed was focusing on DEI and climate change instead of inflation?

Seems like there's more to the story than what meets the eye.",2025-01-29 21:46:52+00:00,0.35,Positive
"@Texasbrn Ignore the bill, just like climate change",2025-01-29 21:46:51+00:00,0,Neutral
"The latest outbursts and brain farts from the great Kumara of the North...

Open to all today in Nick’s Kōrero - Shane Jones calls climate change 'woke' and says, 'Send the Mexicans home'. https://t.co/pm4DEX5mWu",2025-01-29 21:46:28+00:00,0.4333333333333333,Positive
@YourAnonCentral Modern liberals are a cancer and they should delete themselves in the name of climate change,2025-01-29 21:46:23+00:00,0.2,Positive
@TrumpDailyPosts @biancoresearch Question for @elonmusk - do you agree with Trump that climate change is fake?,2025-01-29 21:46:21+00:00,-0.5,Negative
"@Aktualitysk 🚨 BREAKING: Trump just told the globalists at the World Economic Forum right to their faces that he froze foreign aid, is ending climate change policies/""Green New Deal,"" withdrew from the Paris Climate Accord, ended the EV mandate and is rushing to get more fossil fuels. https://t.co/XBaXNqAGT7",2025-01-29 21:46:21+00:00,0.1328463203463203,Positive
@Texasbrn Nothing to do with climate change just a sick company trying to cash in.,2025-01-29 21:46:08+00:00,-0.714285714,Negative
@elonmusk world supposed to end by 2012 despite climate change XD,2025-01-29 22:01:52+00:00,0,Neutral
"@BlakPantherBabe no intelligent person believes harris would have threatened TANF, SNAP, section 8, title 1, school meals, senior programs, affordable meds, black employment, DEI retribution, trans eradication, and climate change remediation as a first act to the presidency.",2025-01-29 22:01:45+00:00,-0.105555556,Negative
"@Penelopesire1 Climate change has been happening since the beginning of earth. Now, the BS of man-made ""global warming"" or ""climate change"" and claiming it can be solved with taxing you more is not what he agreed with.",2025-01-29 22:01:36+00:00,0.25,Positive
"In the face of wildfires devastating urban-adjacent areas in Southern California, victims are left grappling with the fallout and political gridlock on climate change.

It’s time for leaders to prioritize bold climate solutions. 

Read more: https://t.co/xRziBSBVrP https://t.co/DrieUKuWC4",2025-01-29 22:01:35+00:00,-0.027777778,Negative
"@newstart_2024 ""People (CEO's)  should be jailed in they don't acknowledge Climate Change""  RFK JR.

First big Personnel Mistake of the Trump Administration.   I'm sure there are other.  He's notorious for them.",2025-01-29 22:01:27+00:00,0.15625,Positive
@pmarca About as accurate as climate change predictions from those days.,2025-01-29 22:01:25+00:00,0.4000000000000001,Positive
"@KanishkaNarayan You do not fight climate change by building a 3rd runway and Heathrow.
You do not fight a bio diversity crisis by giving Developers a green light to build where they like or launching an assault on nature and the people that stand up for it.

Nature, Bats and Newts have not… https://t.co/TtsJIMOQHl",2025-01-29 22:01:25+00:00,0.0666666666666666,Positive
@JDVanceNewsX MOST OF US HAVE KNOWN ALL ALONG THAT =CLIMATE CHANGE is NOTHING MORE THAN A WAY TO CONTROL AND ROB THE MASSES !🐍🐍🐍🐀🐀🐀🐀🐁🐁🐁,2025-01-29 22:01:23+00:00,0.5625,Positive
@IzabelaDZygmunt @sahouraxo You are lying. I don't know if you realise that this type of lying is punishable? Just because you spread lies about the ‘grandeur’ of the green deal and preach nonsense about climate change doesn't give you the right to tell lies that hit individuals,2025-01-29 22:01:09+00:00,0.0428571428571428,Positive
"@DanicaPatrick @RobertKennedyJr RFK Jr. believes in Climate Change - perhaps the GOP should start believing in that as well.  Also, he's for mass Regulations on Food Sources which is a good thing. So the GOP is finally okay with those Regulations.. Good to know.",2025-01-29 22:01:07+00:00,0.6333333333333333,Positive
"@kentuckyshawn @popculture_show The Ingalls will encounter some wise, trooned-out Indians who will lecture them (and thus the audience) at length on the correctness of cutting off your junk, the importance of fighting climate change, and the scourge of racisms.",2025-01-29 22:17:16+00:00,0.0499999999999999,Positive
@TheChiefNerd I knew this was going to be a shit show when Bernie began his interview by asking the nominee for US health secretary about his position on climate change.,2025-01-29 22:17:16+00:00,-0.2,Negative
@Texasbrn Climate change is only real to people who can make money from it.,2025-01-29 22:17:12+00:00,0.1,Positive
"@PatrickChristys 
There is no climate change. We experience weather patterns! See below.

https://t.co/p1qbtDsTGH",2025-01-29 22:17:07+00:00,0,Neutral
"🚨🚨 BREAKING: ZELDIN CONFIRMED AS EPA CHIEF - Trump’s pick secures Senate approval, paving the way for aggressive environmental regulation rollbacks.

""We need an EPA administrator who will take climate change seriously,"" warned Sen. Sheldon Whitehouse, blasting Trump’s… https://t.co/HBrGWXWob3",2025-01-29 22:17:02+00:00,0.0333333333333333,Positive
"@BobHoldenNYC @VickieforNYC Bob we need your help for those that live in CO OPS And these wayyyy to expensive climate change provisions 🫵🫵🫵Request to bring Intro 772 before the Environmental Protection,Resiliency &amp; Waterfronts Committee before the committee we can’t afford Local Law 97 it’s impossible!!",2025-01-29 22:17:02+00:00,-0.340909091,Negative
@AngelaRayner Tonight I’m lighting a candle for the planet after your party decided to embrace climate change with airport expansion. So disappointed in the Labour Party 😞,2025-01-29 22:16:54+00:00,-0.75,Negative
@JDVanceNewsX B. No. Climate Change is not a Hoax. It is real and its devastating effects are there for all to see.,2025-01-29 22:16:29+00:00,-0.4,Negative
"A weak loonie, higher insurance rates, hurricanes Helene and Milton, and—""wait for it—""natural disasters.”  Not a word about the climate change/fossil fuel connection! #WhereIsTheWhy? #ClimateCrisis #EndTheSilence @EndClimtSilence",2025-01-29 22:16:20+00:00,0,Neutral
"@MrMatthewTodd @leftywright44 The key point is that climate change will not at any point affect all parts of the world evenly. 

The question is how collapse in some places will impact others. The answer is that some places will remain largely unaffected by the travails of others.",2025-01-29 22:16:14+00:00,-0.025,Negative
"Overall, Nevada voters anticipate worsening conditions for climate change and abortion access the most during Trump’s presidency. Pessimism is again driven by Democrats, while strong pluralities of Republicans – including conservatives and Trump voters – say there will be no… https://t.co/ajkFQX7EuW https://t.co/KjdUrAHccY",2025-01-29 22:32:00+00:00,0.3111111111111111,Positive
"@SnailBrookAI Trump is one of the dumbest human beings on the planet. He doesn’t even know what the Fed does. The Fed plays no role on energy, climate change, or DEI.

And I through Biden/Harris caused inflation? 🤔",2025-01-29 22:31:54+00:00,0,Neutral
"@sjsimmons @andytheviking @_ClimateCraze ""...while the land-based weather stations provide us with valuable information regarding the weather, they tell us very little about climate change. Longer term changes in climate require much more information than we currently have on ocean warming.""",2025-01-29 22:31:50+00:00,0.0854166666666666,Positive
"""If the world warms another 1.3 degrees Celsius from now, the study said  people should expect the type of weather conditions that led to these  fires to happen another 35% more often."" https://t.co/djxbH5pbIe",2025-01-29 22:31:39+00:00,0.5,Positive
@mystudyjourney @USA_Polling There is a statistically relevant percentage of the population that believes in climate change and also wither doesn’t care and/or actively profits off the current system and so will refuse to do anything.,2025-01-29 22:31:37+00:00,0.0888888888888889,Positive
"Anyone noticed?

If it's hotter than normal, climate change. Colder than normal, climate change. Rainy, climate change. Not rainy,  climate change. Hurricane, tornado,  and now wild fires (man made), you guessed it climate change.",2025-01-29 22:31:32+00:00,0.1333333333333333,Positive
@MailOnline lmao might be UKs new masters cuisine not climate change you toolbags,2025-01-29 22:31:22+00:00,0.3681818181818181,Positive
"@GBNEWS No need to worry about it, apparently climate change will kill us all before this happens anyway! 🤔🤔🤔",2025-01-29 22:31:16+00:00,0.0625,Positive
@_davidlimbrick This is how you reverse climate change,2025-01-29 22:31:08+00:00,0,Neutral
"I could not agree more. How is it that the left has created a term that says no matter what the weather does it’s because of CO2? “Climate change” is nonsense. He says it here: “more rain, more drought” what nonsense. Let’s he honest: It’s a boondoggle scheme to make money. https://t.co/yxLagj5Yku",2025-01-29 22:31:06+00:00,0.42,Positive
@WhiteR91722 @Anvndarnamn5 @ryankatzrosene @Teoli2003 Children learn things can be more than one thing.  CO2 can be plant food - and technically pollution - and also a greenhouse gas.  It's the greenhouse gas part that is related to climate change.  This is getting boring,2025-01-29 22:47:16+00:00,-0.125,Negative
@Texasbrn Trump says Climate Change is a hoax. Ask him to hold your insurance company accountable,2025-01-29 22:47:15+00:00,0,Neutral
@Prolemasses Honestly the Democrats should go on about how much they like RFKs abortion stance and commitment to climate change and see how the GOP reacts.,2025-01-29 22:47:15+00:00,0.4,Positive
"@SVonpressentin @MAGAMatty @KatamaBlue @meiselasb No no, climate change is happening... it's widely agreed upon by EXPERTS, not some billionaires pretending they know how to feign expertise. YOU happened to fall for political propaganda, sorry.",2025-01-29 22:47:12+00:00,-0.175,Negative
"@OzPollies @SenatorRennick 💯% get out of the Paris accord BS, abandon the Nett Zero lie and drop every ruinables subsidy. Close all govt climate change offices. GloBull warming rebadged to climate change myth is the greatest con ever foisted on mankind",2025-01-29 22:46:52+00:00,1,Positive
"https://t.co/jWKEdP8IYn  Steven Guilbeault Addresses Ouranos Climate Change Symposium – January 29, 2025 to outline the government’s measures to address  #climateadaptation and #wildlifemanagement.",2025-01-29 22:46:51+00:00,0,Neutral
@Texasbrn Makes sense. Texas homes aren’t built for the snow and yall dumbass vote for climate change deniers. Enjoy the cold whether tho😂,2025-01-29 22:46:44+00:00,-0.1,Negative
@FoxNews Climate change is tied to healthcare thank God he didn't fucking win anything we can actually tha k Hillary for something,2025-01-29 22:46:44+00:00,0.4,Positive
"@GregAbbott_TX Sounds great, but why name it after former Al Gores Company, Next Gen? Has a Climate Change connotation to it",2025-01-29 22:46:42+00:00,0.2666666666666666,Positive
"@NVGRKD4NJF @John_michaels25 One good start is allowing people the necessary economic climate to have children in the first place, and not seek systems of change. Cause that’s all the left is. An answer, both socially or economically, when people have questions as to why things suck.",2025-01-29 22:46:32+00:00,0.2416666666666666,Positive
